Product Name,Price,Discount,Product Link
A-Line Kurti Sharara & Dupatta,Rs. 1470Rs. 4900,N/A,https://www.myntra.com/kurta-sets/sangria/sangria-a-line-kurti-with-sharara--dupatta/31606779/buy
Kurta with Trousers & Dupatta,Rs. 1848Rs. 5999,N/A,https://www.myntra.com/kurta-sets/vredevogel/vredevogel-women-ethnic-motifs-embroidered-kurta-with-trousers--dupatta/36013529/buy
Women Printed Kurta Set,Rs. 1395Rs. 3499,N/A,https://www.myntra.com/kurta-sets/ragvi/ragvi-women-floral-printed-kurta-with-trousers--with-dupatta/36883811/buy
Yoke Design Straight Kurta Set,Rs. 1529Rs. 2999,N/A,https://www.myntra.com/kurta-sets/jaipur+kurti/jaipur-kurti-floral-yoke-design-thread-work-straight-kurta-with-palazzos--dupatta/35181402/buy
Viscose Rayon Kurta Sets,Rs. 850Rs. 4345,N/A,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-viscose-rayon-printed-kurta-sets-with-dupatta/36456314/buy
Mandarin Collar Kurta Set,Rs. 749Rs. 2499,N/A,https://www.myntra.com/kurta-sets/yagnik+fashion/yagnik-fashion-women-ethnic-motifs-printed-mandarin-collar-kurta-with-palazzos/37732813/buy
Women Embroidered Kurti with Sharara With Dupatta,Rs. 1299Rs. 4099,N/A,https://www.myntra.com/kurta-sets/stylum/stylum-women-embroidered-empire-mirror-work-kurti-with-sharara--with-dupatta/32972911/buy
Printed Kurta & Trousers,Rs. 1303Rs. 5299,N/A,https://www.myntra.com/kurta-sets/sangria/sangria-women-geometric-printed-a-line-kurta--trousers/35081790/buy
Women Printed Kurti with Palazzos With Dupatta,Rs. 916Rs. 3999,N/A,https://www.myntra.com/kurta-sets/jaipuri+bunaai/jaipuri-bunaai-women-floral-printed-regular-kurti-with-palazzos--with-dupatta/32916271/buy
Women Solid Kurta Set,Rs. 2151Rs. 3999,N/A,https://www.myntra.com/kurta-sets/jaipur+kurti/jaipur-kurti-women-floral-solid-a-line-kurta-with-trousers/35181403/buy
Kurta Wih Trousers & Dupatta,Rs. 1595Rs. 5999,N/A,https://www.myntra.com/kurta-sets/vredevogel/vredevogel-ethnic-embroidered-thread-work-chanderi-silk-kurta-wih-trousers--dupatta-/31027160/buy
Women Kurta with Trousers,Rs. 866Rs. 1999,N/A,https://www.myntra.com/kurta-sets/kalini/kalini-women-ethnic-motifs-embroidered-regular-thread-work-chikankari-kurta-with-trouser/36116410/buy
Kurta with Trousers & Dupatta,Rs. 1164Rs. 3599,N/A,https://www.myntra.com/kurta-sets/szn/szn-women-regular-kurta-with-trousers--with-dupatta/37933523/buy
Women Printed Kurta with Palazzos With Dupatta,Rs. 1888Rs. 2899,N/A,https://www.myntra.com/kurta-sets/moms+ever/moms-ever-women-ethnic-motifs-printed-regular-pure-cotton-kurta-with-palazzos--with-dupatta/37447142/buy
Embroidered Pleated Kurta Set,Rs. 1999Rs. 5499,N/A,https://www.myntra.com/kurta-sets/divastri/divastri-women-ethnic-motifs-embroidered-v-neck-pleated-anarkali-calf-length-kurta-set-/36164034/buy
Women Embroidered Kurta Set,Rs. 1419Rs. 2499,N/A,https://www.myntra.com/kurta-sets/jaipur+kurti/jaipur-kurti-women-ethnic-motifs-embroidered-kurta-with-trousers/35181399/buy
Floral Embroidered Kurta Set,Rs. 1505Rs. 4299,N/A,https://www.myntra.com/kurta-sets/anouk/anouk-brown-floral-embroidered-round-neck-anarkali-kurta-with-trousers--dupatta/31586180/buy
Women Printed Kurti Set,Rs. 1484Rs. 4499,N/A,https://www.myntra.com/kurta-sets/anouk/anouk-women-cotton-printed-notch-neck-straight-kurti-farshi-salwar-with-dupatta/36331709/buy
Embroidered Straight Kurta Set,Rs. 2396Rs. 6949,N/A,https://www.myntra.com/kurta-sets/sangria/sangria-floral-embroidered-flared-sleeves-zari-straight-kurti-with-dhoti-pant--dupatta/32710288/buy
